Time Custom..._Count Custom..._Conc Acetate_Count Acetate_Conc Custom..._Died bacteria_couldn't_eat
624 359 2.44 0 0.0 0 359
626 359 2.44 0 0.0 0 359
628 359 2.44 0 0.0 0 359
630 359 2.44 0 0.0 0 359
632 359 2.44 0 0.0 0 359
634 359 2.44 0 0.0 0 359
636 359 2.44 0 0.0 0 359
638 359 2.44 0 0.0 0 359
640 359 2.44 0 0.0 0 359
642 359 2.44 0 0.0 0 359
644 359 2.44 0 0.0 0 359
646 359 2.44 0 0.0 0 359
648 359 2.44 0 0.0 0 359
650 359 2.44 0 0.0 0 359
652 359 2.44 0 0.0 0 359
654 359 2.44 0 0.0 0 359
656 359 2.44 0 0.0 0 359
658 359 2.44 0 0.0 0 359
660 359 2.44 0 0.0 0 359
662 359 2.44 0 0.0 0 359
664 359 2.44 0 0.0 0 359
666 359 2.44 0 0.0 0 359
668 359 2.44 0 0.0 0 359
670 359 2.44 0 0.0 0 359
672 359 2.44 0 0.0 0 359
674 359 2.44 0 0.0 0 359
676 359 2.44 0 0.0 0 359
678 359 2.44 0 0.0 0 359
680 359 2.44 0 0.0 0 359
682 359 2.44 0 0.0 0 359
684 359 2.44 0 0.0 0 359
686 359 2.44 0 0.0 0 359
688 359 2.44 0 0.0 0 359
690 359 2.44 0 0.0 0 359
692 359 2.44 0 0.0 0 359
694 359 2.44 0 0.0 0 359
696 359 2.44 0 0.0 0 359
698 359 2.44 0 0.0 0 359
700 359 2.44 0 0.0 0 359
702 359 2.44 0 0.0 0 359
704 359 2.44 0 0.0 0 359
706 359 2.44 0 0.0 0 359
708 359 2.44 0 0.0 0 359
710 359 2.44 0 0.0 0 359
712 359 2.44 0 0.0 0 359
714 359 2.44 0 0.0 0 359
716 359 2.44 0 0.0 0 359
718 359 2.44 0 0.0 0 359
720 359 2.44 0 0.0 0 359
722 359 2.44 0 0.0 0 359
724 359 2.44 0 0.0 0 359
726 359 2.44 0 0.0 0 359
728 359 2.44 0 0.0 0 359
730 359 2.44 0 0.0 0 359
732 359 2.44 0 0.0 0 359
734 359 2.44 0 0.0 0 359
736 359 2.44 0 0.0 0 359
738 359 2.44 0 0.0 0 359
740 359 2.44 0 0.0 0 359
742 359 2.44 0 0.0 0 359
744 359 2.44 0 0.0 0 359
746 359 2.44 0 0.0 0 359
748 359 2.44 0 0.0 0 359
750 359 2.44 0 0.0 0 359
752 359 2.44 0 0.0 0 359
754 359 2.44 0 0.0 0 359
756 359 2.44 0 0.0 0 359
758 359 2.44 0 0.0 0 359
760 359 2.44 0 0.0 0 359
762 359 2.44 0 0.0 0 359
764 359 2.44 0 0.0 0 359
766 359 2.44 0 0.0 0 359
768 359 2.44 0 0.0 0 359
770 359 2.44 0 0.0 0 359
772 359 2.44 0 0.0 0 359
774 359 2.44 0 0.0 0 359
776 359 2.44 0 0.0 0 359
778 359 2.44 0 0.0 0 359
780 359 2.44 0 0.0 0 359
782 359 2.44 0 0.0 0 359
784 359 2.44 0 0.0 0 359
786 359 2.44 0 0.0 0 359
788 359 2.44 0 0.0 0 359
790 359 2.44 0 0.0 0 359
792 359 2.44 0 0.0 0 359
794 359 2.44 0 0.0 0 359
796 359 2.44 0 0.0 0 359
798 359 2.44 0 0.0 0 359
800 359 2.44 0 0.0 0 359
802 359 2.44 0 0.0 0 359
804 359 2.44 0 0.0 0 359
806 359 2.44 0 0.0 0 359
808 359 2.44 0 0.0 0 359
810 359 2.44 0 0.0 0 359
812 359 2.44 0 0.0 0 359
814 359 2.44 0 0.0 0 359
816 359 2.44 0 0.0 0 359
818 359 2.44 0 0.0 0 359
820 359 2.44 0 0.0 0 359
822 359 2.44 0 0.0 0 359
824 359 2.44 0 0.0 0 359
826 359 2.44 0 0.0 0 359
828 359 2.44 0 0.0 0 359
830 359 2.44 0 0.0 0 359
832 359 2.44 0 0.0 0 359
834 359 2.44 0 0.0 0 359
836 359 2.44 0 0.0 0 359
838 359 2.44 0 0.0 0 359
840 359 2.44 0 0.0 0 359
842 359 2.44 0 0.0 0 359
844 359 2.44 0 0.0 0 359
846 359 2.44 0 0.0 0 359
848 359 2.44 0 0.0 0 359
850 359 2.44 0 0.0 0 359
852 359 2.44 0 0.0 0 359
854 359 2.44 0 0.0 0 359
856 359 2.44 0 0.0 0 359
858 359 2.44 0 0.0 0 359
860 359 2.44 0 0.0 0 359
862 359 2.44 0 0.0 0 359
864 359 2.44 0 0.0 0 359
866 359 2.44 0 0.0 0 359
868 359 2.44 0 0.0 0 359
870 359 2.44 0 0.0 0 359
872 359 2.44 0 0.0 0 359
874 359 2.44 0 0.0 0 359
876 359 2.44 0 0.0 0 359
878 359 2.44 0 0.0 0 359
880 359 2.44 0 0.0 0 359
882 359 2.44 0 0.0 0 359
884 359 2.44 0 0.0 0 359
886 359 2.44 0 0.0 0 359
888 359 2.44 0 0.0 0 359
890 359 2.44 0 0.0 0 359
892 359 2.44 0 0.0 0 359
894 359 2.44 0 0.0 0 359
896 359 2.44 0 0.0 0 359
898 359 2.44 0 0.0 0 359
900 359 2.44 0 0.0 0 359
902 359 2.44 0 0.0 0 359
904 359 2.44 0 0.0 0 359
906 359 2.44 0 0.0 0 359
908 359 2.44 0 0.0 0 359
910 359 2.44 0 0.0 0 359
912 359 2.44 0 0.0 0 359
914 359 2.44 0 0.0 0 359
916 359 2.44 0 0.0 0 359
918 359 2.44 0 0.0 0 359
920 359 2.44 0 0.0 0 359
922 359 2.44 0 0.0 0 359
924 359 2.44 0 0.0 0 359
926 359 2.44 0 0.0 0 359
928 359 2.44 0 0.0 0 359
930 359 2.44 0 0.0 0 359
932 359 2.44 0 0.0 0 359
934 359 2.44 0 0.0 0 359
936 359 2.44 0 0.0 0 359
938 359 2.44 0 0.0 0 359
940 359 2.44 0 0.0 0 359
942 359 2.44 0 0.0 0 359
944 359 2.44 0 0.0 0 359
946 359 2.44 0 0.0 0 359
948 359 2.44 0 0.0 0 359
950 359 2.44 0 0.0 0 359
952 359 2.44 0 0.0 0 359
954 359 2.44 0 0.0 0 359
956 359 2.44 0 0.0 0 359
958 359 2.44 0 0.0 0 359
960 359 2.44 0 0.0 0 359
962 359 2.44 0 0.0 0 359
964 359 2.44 0 0.0 0 359
966 359 2.44 0 0.0 0 359
968 359 2.44 0 0.0 0 359
970 359 2.44 0 0.0 0 359
972 359 2.44 0 0.0 0 359
974 359 2.44 0 0.0 0 359
976 359 2.44 0 0.0 0 359
978 359 2.44 0 0.0 0 359
980 359 2.44 0 0.0 0 359
982 359 2.44 0 0.0 0 359
984 359 2.44 0 0.0 0 359
986 359 2.44 0 0.0 0 359
988 359 2.44 0 0.0 0 359
990 359 2.44 0 0.0 0 359
992 359 2.44 0 0.0 0 359
994 359 2.44 0 0.0 0 359
996 359 2.44 0 0.0 0 359
998 359 2.44 0 0.0 0 359
1000 359 2.44 0 0.0 0 359
1002 359 2.44 0 0.0 0 359
1004 359 2.44 0 0.0 0 359
1006 359 2.44 0 0.0 0 359
1008 359 2.44 0 0.0 0 359
1010 359 2.44 0 0.0 0 359
1012 359 2.44 0 0.0 0 359
1014 359 2.44 0 0.0 0 359
1016 359 2.44 0 0.0 0 359
1018 359 2.44 0 0.0 0 359
1020 359 2.44 0 0.0 0 359
1022 359 2.44 0 0.0 0 359
1024 359 2.44 0 0.0 0 359
1026 359 2.44 0 0.0 0 359
1028 359 2.44 0 0.0 0 359
1030 359 2.44 0 0.0 0 359
1032 359 2.44 0 0.0 0 359
1034 359 2.44 0 0.0 0 359
1036 359 2.44 0 0.0 0 359
1038 359 2.44 0 0.0 0 359
1040 359 2.44 0 0.0 0 359
1042 359 2.44 0 0.0 0 359
1044 359 2.44 0 0.0 0 359
1046 359 2.44 0 0.0 0 359
1048 359 2.44 0 0.0 0 359
1050 359 2.44 0 0.0 0 359
1052 359 2.44 0 0.0 0 359
1054 359 2.44 0 0.0 0 359
1056 359 2.44 0 0.0 0 359
1058 359 2.44 0 0.0 0 359
1060 359 2.44 0 0.0 0 359
1062 359 2.44 0 0.0 0 359
1064 359 2.44 0 0.0 0 359
1066 359 2.44 0 0.0 0 359
1068 359 2.44 0 0.0 0 359
1070 359 2.44 0 0.0 0 359
1072 359 2.44 0 0.0 0 359
1074 359 2.44 0 0.0 0 359
1076 359 2.44 0 0.0 0 359
1078 359 2.44 0 0.0 0 359
1080 359 2.44 0 0.0 0 359
1082 359 2.44 0 0.0 0 359
1084 359 2.44 0 0.0 0 359
1086 359 2.44 0 0.0 0 359
1088 359 2.44 0 0.0 0 359
1090 359 2.44 0 0.0 0 359
1092 359 2.44 0 0.0 0 359
1094 359 2.44 0 0.0 0 359
1096 359 2.44 0 0.0 0 359
1098 359 2.44 0 0.0 0 359
1100 359 2.44 0 0.0 0 359
1102 359 2.44 0 0.0 0 359
1104 359 2.44 0 0.0 0 359
1106 359 2.44 0 0.0 0 359
1108 359 2.44 0 0.0 0 359
1110 359 2.44 0 0.0 0 359
1112 359 2.44 0 0.0 0 359
1114 359 2.44 0 0.0 0 359
1116 359 2.44 0 0.0 0 359
1118 359 2.44 0 0.0 0 359
1120 359 2.44 0 0.0 0 359
1122 359 2.44 0 0.0 0 359
1124 359 2.44 0 0.0 0 359
1126 359 2.44 0 0.0 0 359
1128 359 2.44 0 0.0 0 359
1130 359 2.44 0 0.0 0 359
1132 359 2.44 0 0.0 0 359
1134 359 2.44 0 0.0 0 359
1136 359 2.44 0 0.0 0 359
1138 359 2.44 0 0.0 0 359
1140 359 2.44 0 0.0 0 359
1142 359 2.44 0 0.0 0 359
1144 359 2.44 0 0.0 0 359
1146 359 2.44 0 0.0 0 359
1148 359 2.44 0 0.0 0 359
1150 359 2.44 0 0.0 0 359
1152 359 2.44 0 0.0 0 359
1154 359 2.44 0 0.0 0 359
1156 359 2.44 0 0.0 0 359
1158 359 2.44 0 0.0 0 359
1160 359 2.44 0 0.0 0 359
1162 359 2.44 0 0.0 0 359
1164 359 2.44 0 0.0 0 359
1166 359 2.44 0 0.0 0 359
1168 359 2.44 0 0.0 0 359
1170 359 2.44 0 0.0 0 359
1172 359 2.44 0 0.0 0 359
1174 359 2.44 0 0.0 0 359
1176 359 2.44 0 0.0 0 359
1178 359 2.44 0 0.0 0 359
1180 359 2.44 0 0.0 0 359
1182 359 2.44 0 0.0 0 359
1184 359 2.44 0 0.0 0 359
1186 359 2.44 0 0.0 0 359
1188 359 2.44 0 0.0 0 359
1190 359 2.44 0 0.0 0 359
1192 359 2.44 0 0.0 0 359
1194 359 2.44 0 0.0 0 359
1196 359 2.44 0 0.0 0 359
1198 359 2.44 0 0.0 0 359
1200 359 2.44 0 0.0 0 359
1202 359 2.44 0 0.0 0 359
1204 359 2.44 0 0.0 0 359
1206 359 2.44 0 0.0 0 359
1208 359 2.44 0 0.0 0 359
1210 359 2.44 0 0.0 0 359
1212 359 2.44 0 0.0 0 359
1214 359 2.44 0 0.0 0 359
1216 359 2.44 0 0.0 0 359
1218 359 2.44 0 0.0 0 359
1220 359 2.44 0 0.0 0 359
1222 359 2.44 0 0.0 0 359
1224 359 2.44 0 0.0 0 359
1226 359 2.44 0 0.0 0 359
1228 359 2.44 0 0.0 0 359
1230 359 2.44 0 0.0 0 359
1232 359 2.44 0 0.0 0 359
1234 359 2.44 0 0.0 0 359
1236 359 2.44 0 0.0 0 359
1238 359 2.44 0 0.0 0 359
1240 359 2.44 0 0.0 0 359
1242 359 2.44 0 0.0 0 359
1244 359 2.44 0 0.0 0 359
1246 359 2.44 0 0.0 0 359
1248 359 2.44 0 0.0 0 359
1250 359 2.44 0 0.0 0 359
1252 359 2.44 0 0.0 0 359
1254 359 2.44 0 0.0 0 359
1256 359 2.44 0 0.0 0 359
1258 359 2.44 0 0.0 0 359
1260 359 2.44 0 0.0 0 359
1262 359 2.44 0 0.0 0 359
1264 359 2.44 0 0.0 0 359
1266 359 2.44 0 0.0 0 359
1268 359 2.44 0 0.0 0 359
1270 359 2.44 0 0.0 0 359
1272 359 2.44 0 0.0 0 359
1274 358 2.43 0 0.0 1 359
1276 358 2.43 0 0.0 1 358
1278 358 2.43 0 0.0 1 358
1280 358 2.43 0 0.0 1 358
1282 358 2.43 0 0.0 1 358
1284 358 2.43 0 0.0 1 358
1286 358 2.43 0 0.0 1 358
1288 358 2.43 0 0.0 1 358
1290 358 2.43 0 0.0 1 358
1292 358 2.43 0 0.0 1 358
1294 358 2.43 0 0.0 1 358
1296 358 2.43 0 0.0 1 358
1298 358 2.43 0 0.0 1 358
1300 358 2.43 0 0.0 1 358
1302 358 2.43 0 0.0 1 358
1304 358 2.43 0 0.0 1 358
1306 358 2.43 0 0.0 1 358
1308 358 2.43 0 0.0 1 358
1310 358 2.43 0 0.0 1 358
1312 358 2.43 0 0.0 1 358
1314 358 2.43 0 0.0 1 358
1316 358 2.43 0 0.0 1 358
1318 358 2.43 0 0.0 1 358
1320 358 2.43 0 0.0 1 358
1322 358 2.43 0 0.0 1 358
1324 358 2.43 0 0.0 1 358
1326 358 2.43 0 0.0 1 358
1328 358 2.43 0 0.0 1 358
1330 358 2.43 0 0.0 1 358
1332 358 2.43 0 0.0 1 358
1334 358 2.43 0 0.0 1 358
1336 358 2.43 0 0.0 1 358
1338 358 2.43 0 0.0 1 358
1340 358 2.43 0 0.0 1 358
1342 358 2.43 0 0.0 1 358
1344 358 2.43 0 0.0 1 358
1346 358 2.43 0 0.0 1 358
1348 358 2.43 0 0.0 1 358
1350 358 2.43 0 0.0 1 358
1352 358 2.43 0 0.0 1 358
1354 358 2.43 0 0.0 1 358
1356 358 2.43 0 0.0 1 358
1358 358 2.43 0 0.0 1 358
1360 358 2.43 0 0.0 1 358
1362 358 2.43 0 0.0 1 358
1364 358 2.43 0 0.0 1 358
1366 358 2.43 0 0.0 1 358
1368 358 2.43 0 0.0 1 358
1370 358 2.43 0 0.0 1 358
1372 358 2.43 0 0.0 1 358
1374 358 2.43 0 0.0 1 358
1376 358 2.43 0 0.0 1 358
1378 358 2.43 0 0.0 1 358
1380 358 2.43 0 0.0 1 358
1382 358 2.43 0 0.0 1 358
1384 358 2.43 0 0.0 1 358
1386 358 2.43 0 0.0 1 358
1388 358 2.43 0 0.0 1 358
1390 358 2.43 0 0.0 1 358
1392 358 2.43 0 0.0 1 358
1394 358 2.43 0 0.0 1 358
1396 358 2.43 0 0.0 1 358
1398 358 2.43 0 0.0 1 358
1400 358 2.43 0 0.0 1 358
1402 358 2.43 0 0.0 1 358
1404 358 2.43 0 0.0 1 358
1406 358 2.43 0 0.0 1 358
1408 358 2.43 0 0.0 1 358
1410 358 2.43 0 0.0 1 358
1412 358 2.43 0 0.0 1 358
1414 358 2.43 0 0.0 1 358
1416 358 2.43 0 0.0 1 358
1418 358 2.43 0 0.0 1 358
1420 358 2.43 0 0.0 1 358
1422 358 2.43 0 0.0 1 358
1424 358 2.43 0 0.0 1 358
1426 358 2.43 0 0.0 1 358
1428 358 2.43 0 0.0 1 358
1430 358 2.43 0 0.0 1 358
1432 358 2.43 0 0.0 1 358
1434 358 2.43 0 0.0 1 358
1436 358 2.43 0 0.0 1 358
1438 358 2.43 0 0.0 1 358
1440 358 2.43 0 0.0 1 358
