Time Custom..._Count Custom..._Conc Glycerol_Count Glycerol_Conc Custom..._Died bacteria_couldn't_eat
1418 344 2.59 0 0.0 0 344
1420 344 2.59 0 0.0 0 344
1422 344 2.59 0 0.0 0 344
1424 344 2.59 0 0.0 0 344
1426 344 2.59 0 0.0 0 344
1428 343 2.58 0 0.0 1 344
1430 343 2.58 0 0.0 1 343
1432 343 2.58 0 0.0 1 343
1434 343 2.58 0 0.0 1 343
1436 343 2.58 0 0.0 1 343
1438 343 2.58 0 0.0 1 343
1440 343 2.58 0 0.0 1 343
